Canonical Name,Synonym,Outcome Domain,Subdomain,Measure,Article
3-chamber test,3-chamber test; three-chamber social approach test; three-chambered sociability assay,Behavioral,Sociability,Crosses into empty; Crosses into occupied; Latency to enter occupied; Mean time per visit in occupied; Time in empty; Time in occupied,harrisonUnifiedBehavioralScoring2020
5-choice serial reaction time task,5-choice serial reaction time task (5-csrtt); 5-choice serial reaction time task (csrtt); 5-CSRTT; five-choice serial reaction time paradigm,Behavioral,Attention; Attention & executive function,"Accuracy, omissions, reaction time, premature responses; Response accuracy, omissions, premature responses and reaction times to brief stimuli in one of five locations",shepherdTranslationalAssaysAssessment2016; websterUsingMiceModel2014
[^11c]flumazenil pet,[^11c]flumazenil pet; [^11C]flumazenil PET;11C-flumazenil PET;[^11C]FMZ PET;flumazenil-11C PET;[^11C]flumazenil imaging;11C-FMZ imaging,Imaging,,GABAA receptor binding potential,waerzeggersMouseModelsNeurological2010
[^11c]methionine (met) pet,[^11c]methionine (met) pet; [^11C]MET PET;C-11 methionine PET;MET-11C PET;[^11C]methionine imaging;MET imaging,Imaging,,Amino‐acid transport/protein synthesis (tumor vs. normal tissue uptake),waerzeggersMouseModelsNeurological2010
[^11c]mp4a pet,[^11c]mp4a pet; [^11C]MP4A PET;11C-MP4A PET;MP4A-11C PET;[^11C]MP4A imaging;MP4A imaging,Imaging,,Acetylcholinesterase activity (tracer trapping rate),waerzeggersMouseModelsNeurological2010
[^11c]pib pet (micropet),[^11c]pib pet (micropet); [^11C]PIB PET;Pittsburgh Compound-B PET;microPET [^11C]PIB;[^11C]PIB imaging;PIB microPET imaging,Imaging,,In vivo fibrillar Aβ plaque binding (standardized uptake values),waerzeggersMouseModelsNeurological2010
[^18f]fdg pet,[^18f]fdg pet; [^18F]FDG PET;18F-FDG PET;FDG-18F PET;fluorodeoxyglucose PET;[^18F]FDG imaging;18F-FDG imaging,Imaging,,Glucose uptake rates (SUV) for regional metabolism,waerzeggersMouseModelsNeurological2010
[^18f]fdg pet (micropet),[^18f]fdg pet (micropet); [^18F]FDG microPET;F-18 FDG small-animal PET;microPET FDG-18F;[^18F]FDG microPET imaging;FDG microPET imaging,Imaging,,Regional cerebral glucose metabolism (SUV or uptake ratios),waerzeggersMouseModelsNeurological2010
[^18f]fet pet,[^18f]fet pet; [^18F]FET PET;18F-FET PET;fluoroethyltyrosine PET;[^18F]FET imaging;FET imaging,Imaging,,Tyrosine transport/amino‐acid uptake in proliferating cells,waerzeggersMouseModelsNeurological2010
[^18f]flt pet,[^18f]flt pet; [^18F]FLT PET;F-18 FLT PET;fluorothymidine PET;[^18F]FLT imaging;FLT imaging,Imaging,,Thymidine kinase activity for DNA synthesis (cell proliferation),waerzeggersMouseModelsNeurological2010
[^18f]miso pet,[^18f]miso pet; [^18F]MISO PET;18F-MISO PET;fluoromisonidazole PET;[^18F]MISO imaging;MISO imaging,Imaging,,Nitroimidazole trapping in hypoxic cells,waerzeggersMouseModelsNeurological2010
^19f mri (fsb),^19f mri (fsb); ^19F MRI;F-19 MRI;fluorine-19 magnetic resonance imaging;^19F MRI imaging;fluorine-19 imaging,Imaging,,^19F signal localization of fluorinated amyloidophilic compound,waerzeggersMouseModelsNeurological2010
acetic anhydride / sulfuric acid stain,acetic anhydride / sulfuric acid stain; acetic anhydride; acetic anhydride stain; acetic anhydride sulfuric acid stain; acetic-anhydride-sulfuric-acid-stain; acid stain; sulfuric acid stain,Histology,Cholesterol ester staining,Distinction of cholesterol esters from other intracellular inclusions,markHistopathologyMouseMetabolic2007
acetone evaporation test,acetone evaporation test; acetone drop test; evaporative cooling assay,Behavioral,Cold hypersensitivity,Duration or frequency of paw withdrawal/flick to evaporative cooling,sadlerInnovationsAdvancesModelling2022
acoustic startle response (± ppi),acoustic startle response (± ppi),Behavioral,Auditory sensorimotor reflexes & gating,Startle amplitude to loud acoustic pulse; % inhibition of startle when preceded by a subthreshold prepulse,goldFunctionalAssessmentLongTerm2013
active avoidance,active avoidance; two-way active avoidance; shuttle-box avoidance task,Behavioral,Associative (reference & working); Avoidance learning (emotional),# successful avoidances / avoidance latency; Number of cue‐evoked crossings to safe chamber; latency,goldFunctionalAssessmentLongTerm2013; websterUsingMiceModel2014
adhesive removal test,adhesive removal; adhesive removal test; bilateral tactile adhesive removal; sticky-tape removal test; tape removal assay,Behavioral,; Sensorimotor forelimb integration; Sensory neglect,Latency to contact and latency to remove adhesive label on snout (max 60 s); Time taken to detect and remove adhesive patches from each forepaw; Time to contact and time to remove adhesive from each forepaw; asymmetry index between sides,goldFunctionalAssessmentLongTerm2013; meredithBehavioralModelsParkinsons2006; zarrukNeurologicalTestsFunctional2011
adhesive-removal,adhesive-removal,Behavioral,Sensorimotor–tactile integration,Latency to contact & remove tape from snout or paws,osierChronicHistopathologicalBehavioral2015
adipophilin immunostaining,adipophilin immunostaining; adipophilin immunostaining; adipophilin-immunostaining,Histology,Lipid immunostain,Specificity and sensitivity for intracellular lipid-droplet proteins,markHistopathologyMouseMetabolic2007
adjusting-step test,adjusting steps; adjusting-steps test; stepping adjustment assay,Behavioral,,Number of forehand/backhand stepping adjustments by the weight‐bearing forepaw over five trials,meredithBehavioralModelsParkinsons2006
alcian blue,alcian blue; alcian blue; alcian-blue,Histology,Mucin & glycosaminoglycan staining,Acid mucopolysaccharides in tetrachrome—blue,musumeciPresentFutureOverview2014
ammoniacal carmine,ammoniacal carmine; ammoniacal carmine; ammoniacal-carmine,Histology,Cellular microanatomy,Intensity of cerebellar cell staining; Intensity of nuclear/cytoplasmic staining in plant/animal cells; Neuronal/cerebellar cell staining intensity—crimson,alturkistaniHistologicalStainsLiterature2016; javaeedHistologicalStainsPresent2021; musumeciPresentFutureOverview2014
analgesic self-administration,analgesic self-administration; pain self-administration assay; analgesia self-administration paradigm,Behavioral,Reinforcement/spontaneous pain relief,Number of lever presses or infusions for analgesic drug,gregoryOverviewAnimalModels2013
antibody-patterned polyacrylamide blot region,antibody-patterned polyacrylamide blot region; antibody-patterned polyacrylamide blot region; antibody-patterned-polyacrylamide-blot-region; blot region; patterned polyacrylamide blot region antibody,Molecular & Cellular,Multiplexed protein detection,,jinNewDevelopmentsWestern2015
apoptosis - caspase-3,apoptosis - caspase-3; - caspase-3; 3 caspase apoptosis; apoptosis - caspase-3; apoptosis---caspase-3,Molecular & Cellular,Apoptosis,Cleaved-caspase-3⁺ cell count,osierChronicHistopathologicalBehavioral2015
app accumulation,app accumulation; app accumulation; app-accumulation,Molecular & Cellular,Microanatomical structure,Immunohistochemical detection of amyloid-precursor-protein in axons,osierChronicHistopathologicalBehavioral2015
attentional set-shifting,attentional set-shifting; set-shifting task; attentional flexibility test,Behavioral,Cognitive flexibility,Trials-to-criterion & errors in rule shifts,websterUsingMiceModel2014
auramine-rhodamine fluorescent stain,auramine-rhodamine fluorescent stain; auramine-rhodamine fluorescent stain; auramine-rhodamine-fluorescent-stain; fluorescent stain; rhodamine fluorescent stain auramine,Histology,Fluorescent acid‐fast diagnostics,Fluorescence intensity of mycobacteria,javaeedHistologicalStainsPresent2021
auramine–rhodamine stain,auramine & rhodamine; auramine rhodamine stain; auramine-rhodamine-stain; rhodamine stain,Histology,Fluorescent acid-fast diagnostics,Fluorescent acid-fast mycobacteria detection,musumeciPresentFutureOverview2014
autophagy - lc3/atg,autophagy - lc3/atg; atg stain; autophagy - lc3; autophagy - lc3 atg; autophagy - lc3 stain; autophagy---lc3-atg; lc3 atg; lc3/atg autophagy,Molecular & Cellular,Autophagy,LC3-II/LC3-I ratio or ATG12–ATG5 conjugate levels by Western blot or IHC,osierChronicHistopathologicalBehavioral2015
axonal degeneration (btbi),axonal degeneration (btbi); axonal degeneration; axonal-degeneration,Histology,Microanatomical structure,Amino-silver staining of axonal spheroids and fragmented axons,osierChronicHistopathologicalBehavioral2015
axonal injury,axonal injury; axonal injury; axonal-injury,Histology,Microanatomical structure,"APP or silver staining, DTI fractional anisotropy, axonal bulb counts",osierChronicHistopathologicalBehavioral2015
